"","paper","Sample","depth","Date","qPCRbac","qPCRarc","qPCR.MCG..copies.mL.water.","qPCRtotal","totalcells","CARDFISH.Bac.per.cc","CARDFISH.Arc.per.cc","CARDFISH.Total.per.cc","FISH.yield","Fraction.Arc.CARDFISH","Fish.or.cardFish","Cell.stain","Fixative","Bac.permeabilization","Arc.permeabilization","Bac.probe","Arc.probe","Counting.method","depth_log10"
"24","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23015873015873,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"25","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238095238095238,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"26","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.243279298209034,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"27","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272486772486772,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"28","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283068783068783,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"29","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.291005291005291,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"30","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.328042328042328,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"31","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33068783068783,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"32","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.335964943484515,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"33","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.341269841269841,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"34","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.356501668059886,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"35","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357245852577038,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"36","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38095238095238,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"37","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.391534391534391,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"38","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.439153439153439,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"39","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444444444444444,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"40","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.494708994708994,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"41","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521007230093737,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"42","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56685964511666,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"43","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.584656084656084,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"44","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.611111111111111,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"45","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.625424936854038,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"46","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.630455223178905,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"47","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.709364487359247,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"48","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.795754502690187,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"49","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836882610916024,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"50","Bouvier 2002","Choptank River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.920860086171027,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"51","Bouvier 2002","Pocomoke River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0213675213675214,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"52","Bouvier 2002","Pocomoke River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112535612535612,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"53","Bouvier 2002","Pocomoke River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172364672364672,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"54","Bouvier 2002","Pocomoke River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173789173789173,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"55","Bouvier 2002","Pocomoke River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.269230769230769,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"56","Bouvier 2002","Pocomoke River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.319088319088319,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"57","Bouvier 2002","Pocomoke River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.431623931623931,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"58","Bouvier 2002","Pocomoke River estuary",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623931623931623,NA,"FISH","DAPI","formalin","none","none","Eub338","ARCH915","Microscope-eye",0
"59","Garneau 2008","906",3,NA,NA,NA,NA,NA,570000,416100,2280,418380,0.734,0.00544959128065395,"CARDFISH","DAPI","gluteraldehyde","lysozyme","lysozyme","Eub338","ARCH915","Microscope-eye",0.477121254719662
"60","Garneau 2008","803",3,NA,NA,NA,NA,NA,1200000,516000,2400,518400,0.432,0.00462962962962963,"CARDFISH","DAPI","gluteraldehyde","lysozyme","lysozyme","Eub338","ARCH915","Microscope-eye",0.477121254719662
"61","Garneau 2008","915",3,NA,NA,NA,NA,NA,650000,526500,9100,535600,0.824,0.0169902912621359,"CARDFISH","DAPI","gluteraldehyde","lysozyme","lysozyme","Eub338","ARCH915","Microscope-eye",0.477121254719662
"62","Garneau 2008","917",3,NA,NA,NA,NA,NA,780000,351000,17940,368940,0.473,0.0486257928118393,"CARDFISH","DAPI","gluteraldehyde","lysozyme","lysozyme","Eub338","ARCH915","Microscope-eye",0.477121254719662
"63","Garneau 2008","918",3,NA,NA,NA,NA,NA,1380000,648600,28980,677580,0.491,0.0427698574338086,"CARDFISH","DAPI","gluteraldehyde","lysozyme","lysozyme","Eub338","ARCH915","Microscope-eye",0.477121254719662
"64","Garneau 2008","912",3,NA,NA,NA,NA,NA,7e+05,546000,38500,584500,0.835,0.0658682634730539,"CARDFISH","DAPI","gluteraldehyde","lysozyme","lysozyme","Eub338","ARCH915","Microscope-eye",0.477121254719662
"65","Garneau 2008","718",3,NA,NA,NA,NA,NA,1210000,1016400,52030,1068430,0.883,0.0486976217440544,"CARDFISH","DAPI","gluteraldehyde","lysozyme","lysozyme","Eub338","ARCH915","Microscope-eye",0.477121254719662
"66","Herfort 2007","North Sea, DB",NA,"August",NA,NA,NA,NA,6e+05,NA,1000,NA,NA,NA,"CARDFISH","DAPI","formaldehyde","lysozyme","proteinase K","none","CREN537, Eury806","Microscope-eye",NA
"67","Herfort 2007","North Sea, DB",NA,"August",NA,NA,NA,NA,1200000,NA,1000,NA,NA,NA,"CARDFISH","DAPI","formaldehyde","lysozyme","proteinase K","none","CREN537, Eury806","Microscope-eye",NA
"68","Herfort 2007","North Sea, OG",NA,"April ",NA,NA,NA,NA,2e+05,NA,1000,NA,NA,NA,"CARDFISH","DAPI","formaldehyde","lysozyme","proteinase K","none","CREN537, Eury806","Microscope-eye",NA
"69","Herfort 2007","North Sea, OG",NA,"August",NA,NA,NA,NA,8e+05,NA,2000,NA,NA,NA,"CARDFISH","DAPI","formaldehyde","lysozyme","proteinase K","none","CREN537, Eury806","Microscope-eye",NA
"70","Herfort 2007","North Sea, NFF",NA,"April ",NA,NA,NA,NA,3e+05,NA,2400,NA,NA,NA,"CARDFISH","DAPI","formaldehyde","lysozyme","proteinase K","none","CREN537, Eury806","Microscope-eye",NA
"71","Herfort 2007","North Sea, B14",NA,"August",NA,NA,NA,NA,1200000,NA,4000,NA,NA,NA,"CARDFISH","DAPI","formaldehyde","lysozyme","proteinase K","none","CREN537, Eury806","Microscope-eye",NA
"72","Herfort 2007","North Sea, FF",NA,"August",NA,NA,NA,NA,6e+05,NA,7400,NA,NA,NA,"CARDFISH","DAPI","formaldehyde","lysozyme","proteinase K","none","CREN537, Eury806","Microscope-eye",NA
"73","Herfort 2007","North Sea, CSB",NA,"August",NA,NA,NA,NA,5e+05,NA,8600,NA,NA,NA,"CARDFISH","DAPI","formaldehyde","lysozyme","proteinase K","none","CREN537, Eury806","Microscope-eye",NA
"74","Herfort 2007","North Sea, NFF",NA,"August",NA,NA,NA,NA,7e+05,NA,9000,NA,NA,NA,"CARDFISH","DAPI","formaldehyde","lysozyme","proteinase K","none","CREN537, Eury806","Microscope-eye",NA
"75","Herfort 2007","North Sea, CSB",NA,"April ",NA,NA,NA,NA,5e+05,NA,10800,NA,NA,NA,"CARDFISH","DAPI","formaldehyde","lysozyme","proteinase K","none","CREN537, Eury806","Microscope-eye",NA
"76","Herfort 2007","North Sea, FF",NA,"April ",NA,NA,NA,NA,4e+05,NA,11700,NA,NA,NA,"CARDFISH","DAPI","formaldehyde","lysozyme","proteinase K","none","CREN537, Eury806","Microscope-eye",NA
"77","Herfort 2007","North Sea, DC",NA,"August",NA,NA,NA,NA,1900000,NA,17000,NA,NA,NA,"CARDFISH","DAPI","formaldehyde","lysozyme","proteinase K","none","CREN537, Eury806","Microscope-eye",NA
"78","Herfort 2007","North Sea, B14",NA,"April ",NA,NA,NA,NA,1400000,NA,18000,NA,NA,NA,"CARDFISH","DAPI","formaldehyde","lysozyme","proteinase K","none","CREN537, Eury806","Microscope-eye",NA
"79","Herfort 2007","North Sea, DC",NA,"April ",NA,NA,NA,NA,8e+05,NA,18000,NA,NA,NA,"CARDFISH","DAPI","formaldehyde","lysozyme","proteinase K","none","CREN537, Eury806","Microscope-eye",NA
"80","Herfort 2007","North Sea, SFF",NA,"April ",NA,NA,NA,NA,7e+05,NA,25000,NA,NA,NA,"CARDFISH","DAPI","formaldehyde","lysozyme","proteinase K","none","CREN537, Eury806","Microscope-eye",NA
"81","Herfort 2007","North Sea, SFF",NA,"August",NA,NA,NA,NA,1400000,NA,27000,NA,NA,NA,"CARDFISH","DAPI","formaldehyde","lysozyme","proteinase K","none","CREN537, Eury806","Microscope-eye",NA
"82","Ionescu 2009","Gulf of Aquaba",503.275683348907,"1026160.3612528",677850.627477609,289722.575407095,0,0,1026160.3612528,677850.627477609,289722.575407095,967573.202884704,0.942906430047084,0.299432202693627,"CARDFISH","DAPI","formaldehyde","lysozyme","lysozyme/achromopeptidase","EUB338I-III","CREN537, Eury806","Microscope-eye",2.70180594720121
"83","Ionescu 2009","Gulf of Aquaba",304.029030945803,"2487750.52722416",1858228.35657545,452237.149602304,0,0,2487750.52722416,1858228.35657545,452237.149602304,2310465.50617775,0.928736817013472,0.195734213903262,"CARDFISH","DAPI","formaldehyde","lysozyme","lysozyme/achromopeptidase","EUB338I-III","CREN537, Eury806","Microscope-eye",2.48291505524558
"84","Ionescu 2009","Gulf of Aquaba",402.976795328087,"2399691.23982359",1328263.81123076,859505.439047096,0,0,2399691.23982359,1328263.81123076,859505.439047096,2187769.25027786,0.911687809652831,0.392868415596359,"CARDFISH","DAPI","formaldehyde","lysozyme","lysozyme/achromopeptidase","EUB338I-III","CREN537, Eury806","Microscope-eye",2.60528003881825
"85","Ionescu 2009","Gulf of Aquaba",604.477703396191,"3402199.61839012",1661005.83648646,1433499.62809206,0,0,3402199.61839012,1661005.83648646,1433499.62809206,3094505.46457852,0.909560229168094,0.463240296228498,"CARDFISH","DAPI","formaldehyde","lysozyme","lysozyme/achromopeptidase","EUB338I-III","CREN537, Eury806","Microscope-eye",2.78138028622146
"86","Ionescu 2009","Gulf of Aquaba",251.994090323415,"3515881.74519285",1520541.57283863,1614208.074402,0,0,3515881.74519285,1520541.57283863,1614208.074402,3134749.64724063,0.891597008780705,0.514940029045991,"CARDFISH","DAPI","formaldehyde","lysozyme","lysozyme/achromopeptidase","EUB338I-III","CREN537, Eury806","Microscope-eye",2.40139035597986
"87","Ionescu 2009","Gulf of Aquaba",43.8078606187798,"8150658.28554699",4829531.36196598,2298690.40749875,0,0,8150658.28554699,4829531.36196598,2298690.40749875,7128221.76946473,0.874557798859599,0.322477397847761,"CARDFISH","DAPI","formaldehyde","lysozyme","lysozyme/achromopeptidase","EUB338I-III","CREN537, Eury806","Microscope-eye",1.64155204468365
"88","Ionescu 2009","Gulf of Aquaba",145.002731863743,"10607043.9532195",5344070.1535801,4205758.36026899,0,0,10607043.9532195,5344070.1535801,4205758.36026899,9549828.51384909,0.90032892820723,0.440401453719282,"CARDFISH","DAPI","formaldehyde","lysozyme","lysozyme/achromopeptidase","EUB338I-III","CREN537, Eury806","Microscope-eye",2.16137618445685
"89","Ionescu 2009","Gulf of Aquaba",719.88558512096,"12916530.0734794",7613596.00075572,4212406.57621729,0,0,12916530.0734794,7613596.00075572,4212406.57621729,11826002.576973,0.915571171955424,0.356198685802714,"CARDFISH","DAPI","formaldehyde","lysozyme","lysozyme/achromopeptidase","EUB338I-III","CREN537, Eury806","Microscope-eye",2.85726347740471
"90","Karner 2001","93",100,NA,NA,NA,NA,NA,280000,227000,1,226000,0.807142857142857,0,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",2
"91","Karner 2001","94",3000,NA,NA,NA,NA,NA,8390,574,1050,1580,0.188319427890346,0.664556962025316,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",3.47712125471966
"92","Karner 2001","90",25,NA,NA,NA,NA,NA,292000,260000,1940,256000,0.876712328767123,0.007578125,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",1.39794000867204
"93","Karner 2001","94",4750,NA,NA,NA,NA,NA,8620,2780,2110,4600,0.533642691415313,0.458695652173913,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",3.67669360962487
"94","Karner 2001","88",5,NA,NA,NA,NA,NA,154000,104000,2160,101000,0.655844155844156,0.0213861386138614,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",0.698970004336019
"95","Karner 2001","94",2000,NA,NA,NA,NA,NA,11900,4120,2250,6200,0.521008403361345,0.362903225806452,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",3.30102999566398
"96","Karner 2001","91",3000,NA,NA,NA,NA,NA,7890,813,2290,3020,0.38276299112801,0.758278145695364,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",3.47712125471966
"97","Karner 2001","95",2000,NA,NA,NA,NA,NA,11700,4760,2350,7010,0.599145299145299,0.335235378031384,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",3.30102999566398
"98","Karner 2001","96",4750,NA,NA,NA,NA,NA,4790,1110,2530,3430,0.7160751565762,0.737609329446064,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",3.67669360962487
"99","Karner 2001","95",3000,NA,NA,NA,NA,NA,8480,3790,2560,6290,0.741745283018868,0.406995230524642,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",3.47712125471966
"100","Karner 2001","95",4750,NA,NA,NA,NA,NA,10600,5250,2570,7580,0.715094339622641,0.339050131926121,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",3.67669360962487
"101","Karner 2001","87",1000,NA,NA,NA,NA,NA,9210,5180,2610,7330,0.795874049945711,0.356070941336971,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",3
"102","Karner 2001","92",3000,NA,NA,NA,NA,NA,8870,2610,2620,5110,0.576099210822999,0.512720156555773,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",3.47712125471966
"103","Karner 2001","88",1000,NA,NA,NA,NA,NA,14400,5960,2630,8090,0.561805555555556,0.325092707045735,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",3
"104","Karner 2001","92",4750,NA,NA,NA,NA,NA,8110,3510,2950,6300,0.776818742293465,0.468253968253968,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",3.67669360962487
"105","Karner 2001","93",3000,NA,NA,NA,NA,NA,7260,2900,3060,5780,0.796143250688705,0.529411764705882,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",3.47712125471966
"106","Karner 2001","93",2000,NA,NA,NA,NA,NA,7880,2330,3180,5460,0.692893401015228,0.582417582417582,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",3.30102999566398
"107","Karner 2001","96",3000,NA,NA,NA,NA,NA,6440,1780,3610,5220,0.81055900621118,0.691570881226054,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",3.47712125471966
"108","Karner 2001","97",4750,NA,NA,NA,NA,NA,7030,3190,3610,6570,0.934566145092461,0.549467275494673,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",3.67669360962487
"109","Karner 2001","91",4750,NA,NA,NA,NA,NA,7710,1730,3620,5190,0.673151750972763,0.697495183044316,"Polyribonucleotide FISH","DAPI","formalin","none","none","Collection of amplicons from SSU and LSU from natural planktonic samples","Collection of amplicons from SSU and LSU from fosmids of Eurys and Crens","Microscope-eye",3.67669360962487
