"","paper","core","depth","totalcells","CARDFISH.Bac.per.cc","CARDFISH.Arc.per.cc","CARDFISH.Total.per.cc","FISH.yield","qPCR.Bac.per.cc","qPCR.Arc.per.cc","qPCRtotal","qPCRuniversal","Fraction.Arc.CARDFISH","percentqPCR","Fish.or.cardFish","sulfate","CARDFISH.Arc.nd","Cell.stain","Fixative","Bac.permeabilization","Arc.permeabilization","Bac.formamide","Arc.formamide","Sonication","Average.cells.per.field","Filter","SYBR.vs.Taqman","Arc.forward","Arc.reverse","TaqMan.Arc","Bac.forward","Bac.reverse","Taqman.Bac","Universal.forward","Universal.reverse","Taqman.Universal","Arc.standard","Bac.standard","DNA.extraction.procedure","Mud.volcano.or.seep.","Water.depth","Environment.Type","Non.intertidal.marine.sediments.measured.with.FISH.or.CARDFISH.protK","DNA.extraction.efficiency.from.spiking.as.a.fraction.of.total.cells","Template.DNA.dilution.factor","Uses.516.for.Arc","depth_log10","paperNumber"
"26","Breuker 2013","New Jersey shallow shelf [3]",8.86075949367089,1834761.22999149,NA,NA,NA,NA,2234633.72691659,4314402.26144376,6549035.98836035,NA,NA,0.658784326290431,NA,NA,NA,"SYBR Green I","formaldehyde",NA,NA,NA,NA,NA,NA,NA,NA,"A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"FastDNA Spin kit",FALSE,34,"Oligotrophic",NA,NA,NA,TRUE,0.947470948723816,3
"27","Breuker 2013","New Jersey shallow shelf [3]",10.2320675105485,1184019.81425704,NA,NA,NA,NA,1668100.53720005,10372250.9540705,12040351.4912705,NA,NA,0.861457488312575,NA,NA,NA,"SYBR Green I","formaldehyde",NA,NA,NA,NA,NA,NA,NA,NA,"A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"FastDNA Spin kit",FALSE,34,"Oligotrophic",NA,NA,NA,TRUE,1.00996339692818,3
"28","Breuker 2013","New Jersey shallow shelf [3]",11.1814345991561,834103.397101322,NA,NA,NA,NA,1441219.59671886,12451970.8473502,13893190.4440691,NA,NA,0.896264317219224,NA,NA,NA,"SYBR Green I","formaldehyde",NA,NA,NA,NA,NA,NA,NA,NA,"A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"FastDNA Spin kit",FALSE,34,"Oligotrophic",NA,NA,NA,TRUE,1.0484975279267,3
"29","Breuker 2013","New Jersey shallow shelf [3]",12.8691983122362,2180289.31788232,NA,NA,NA,NA,NA,1930697.72888325,NA,NA,NA,NA,NA,NA,NA,"SYBR Green I","formaldehyde",NA,NA,NA,NA,NA,NA,NA,NA,"A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"FastDNA Spin kit",FALSE,34,"Oligotrophic",NA,NA,NA,TRUE,1.10955149333668,3
"30","Breuker 2013","New Jersey shallow shelf [3]",13.6075949367088,8089979.93231439,NA,NA,NA,NA,NA,372759.372031493,NA,NA,NA,NA,NA,NA,NA,"SYBR Green I","formaldehyde",NA,NA,NA,NA,NA,NA,NA,NA,"A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"FastDNA Spin kit",FALSE,34,"Oligotrophic",NA,NA,NA,TRUE,1.13378137296118,3
"31","Breuker 2013","New Jersey shallow shelf [3]",14.8734177215189,102068.752229897,NA,NA,NA,NA,NA,1494869.13370923,NA,NA,NA,NA,NA,NA,NA,"SYBR Green I","formaldehyde",NA,NA,NA,NA,NA,NA,NA,NA,"A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"FastDNA Spin kit",FALSE,34,"Oligotrophic",NA,NA,NA,TRUE,1.17241077531731,3
"32","Breuker 2013","New Jersey shallow shelf [3]",16.6666666666666,1578745.90212289,NA,NA,NA,NA,NA,2586416.20527596,NA,NA,NA,NA,NA,NA,NA,"SYBR Green I","formaldehyde",NA,NA,NA,NA,NA,NA,NA,NA,"A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"FastDNA Spin kit",FALSE,34,"Oligotrophic",NA,NA,NA,TRUE,1.22184874961635,3
"33","Breuker 2013","New Jersey shallow shelf [3]",17.5105485232067,506323.062180291,NA,NA,NA,NA,537228.111832402,3593813.66380463,4131041.77563703,NA,NA,0.869953357770255,NA,NA,NA,"SYBR Green I","formaldehyde",NA,NA,NA,NA,NA,NA,NA,NA,"A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"FastDNA Spin kit",FALSE,34,"Oligotrophic",NA,NA,NA,TRUE,1.24329975070199,3
"34","Breuker 2013","New Jersey shallow shelf [3]",19.0928270042194,308203.281898716,NA,NA,NA,NA,NA,1389495.49437313,NA,NA,NA,NA,NA,NA,NA,"SYBR Green I","formaldehyde",NA,NA,NA,NA,NA,NA,NA,NA,"A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"FastDNA Spin kit",FALSE,34,"Oligotrophic",NA,NA,NA,TRUE,1.28087023753112,3
"35","Breuker 2013","New Jersey shallow shelf [3]",20.042194092827,217119.174302673,NA,NA,NA,NA,NA,1157422.88059206,NA,NA,NA,NA,NA,NA,NA,"SYBR Green I","formaldehyde",NA,NA,NA,NA,NA,NA,NA,NA,"A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"FastDNA Spin kit",FALSE,34,"Oligotrophic",NA,NA,NA,TRUE,1.30194526361476,3
"36","Breuker 2013","New Jersey shallow shelf [3]",29.5358649789029,80152.1120802915,NA,NA,NA,NA,NA,268269.579527972,NA,NA,NA,NA,NA,NA,NA,"SYBR Green I","formaldehyde",NA,NA,NA,NA,NA,NA,NA,NA,"A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"FastDNA Spin kit",FALSE,34,"Oligotrophic",NA,NA,NA,TRUE,1.47034969400415,3
"37","Breuker 2013","New Jersey shallow shelf [3]",43.3544303797468,919830.358535939,NA,NA,NA,NA,26826957.9527972,249359.200498415,27076317.1532956,NA,NA,0.00920949474356648,NA,NA,NA,"SYBR Green I","formaldehyde",NA,NA,NA,NA,NA,NA,NA,NA,"A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"FastDNA Spin kit",FALSE,34,"Oligotrophic",NA,NA,NA,TRUE,1.637033484538,3
"38","Breuker 2013","New Jersey shallow shelf [3]",49.3670886075949,79230.866934046,NA,NA,NA,NA,1441219.59671885,25864.1620527596,1467083.75877161,NA,NA,0.0176296424100664,NA,NA,NA,"SYBR Green I","formaldehyde",NA,NA,NA,NA,NA,NA,NA,NA,"A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"FastDNA Spin kit",FALSE,34,"Oligotrophic",NA,NA,NA,TRUE,1.69343751573606,3
"39","Breuker in press","North Pond 13501 [4]",25.2384611060098,1530846.01091644,NA,NA,NA,NA,34513.5531614716,3760707.79186795,3795221.34502943,NA,NA,0.990906049997143,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,1.40206287063773,4
"40","Breuker in press","North Pond 13501 [4]",77.8591908251036,2700889.70407348,NA,NA,NA,NA,12242.9750221887,685724.30065445,697967.275676638,NA,NA,0.982459098801846,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,1.89130988587047,4
"41","Breuker in press","North Pond 13501 [4]",154.192980154788,480293.654954,NA,NA,NA,NA,7201.2118316734,382439.462976957,389640.67480863,NA,NA,0.981518326249665,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,2.18806460231782,4
"42","Breuker in press","North Pond 13501 [4]",224.24901148736,527962.090396895,NA,NA,NA,NA,13684.5866016854,271420.802922955,285105.389524641,NA,NA,0.952001655863111,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,2.35073053730574,4
"43","Breuker in press","North Pond 13501 [4]",272.196090924423,143725.638467991,NA,NA,NA,NA,6680.26363433338,71833.1680903929,78513.4317247263,NA,NA,0.914915658536556,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,2.43488188390132,4
"44","Breuker in press","North Pond 13501 [4]",279.995502501733,344882.559468426,NA,NA,NA,NA,NA,219770.651997201,NA,NA,NA,NA,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,2.44715105543377,4
"45","Breuker in press","North Pond 13501 [4]",323.628731518093,140365.466695108,NA,NA,NA,NA,NA,544089.360185756,NA,NA,NA,NA,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,2.51004707099294,4
"46","Breuker in press","North Pond 13501 [4]",373.907014223338,93886.4114633905,NA,NA,NA,NA,NA,251841.147519916,NA,NA,NA,NA,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,2.5727636122789,4
"47","Breuker in press","North Pond 13501 [4]",424.316473961359,143725.638467991,NA,NA,NA,NA,NA,232904.084196472,NA,NA,NA,NA,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,2.6276898934485,4
"48","Breuker in press","North Pond 13501 [4]",474.725933699379,220021.820315143,NA,NA,NA,NA,NA,198851.79445179,NA,NA,NA,NA,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,2.67644295734484,4
"49","Breuker in press","North Pond 13501 [4]",526.203549275715,285416.747024664,NA,NA,NA,NA,NA,126686.465090923,NA,NA,NA,NA,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,2.72115377310289,4
"50","Breuker in press","North Pond 13501 [4]",574.195603695444,103204.499049278,NA,NA,NA,NA,NA,105326.549888577,NA,NA,NA,NA,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,2.75905986301573,4
"51","Breuker in press","North Pond 13501 [4]",714.371380919363,186443.799695959,NA,NA,NA,NA,NA,42803.6373701369,NA,NA,NA,NA,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,2.85392404756335,4
"52","Breuker in press","North Pond 13501 [4]",721.016434608249,306408.895862033,NA,NA,NA,NA,NA,22006.0935141212,NA,NA,NA,NA,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,2.85794516399589,4
"53","Breuker in press","North Pond 13501 [4]",762.534435261708,NA,NA,NA,NA,NA,NA,65642.3726212019,NA,NA,NA,NA,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,2.88225946074861,4
"54","Breuker in press","North Pond 13502 [4]",8.14421977774873,21151563.0271759,NA,NA,NA,NA,NA,7920090.69032176,NA,NA,NA,NA,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,0.910849484906195,4
"55","Breuker in press","North Pond 13502 [4]",39.6042201525402,3673402.29637925,NA,NA,NA,NA,102841.688211995,1521938.45992389,1624780.14813589,NA,NA,0.936704243752617,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,1.59774146600905,4
"56","Breuker in press","North Pond 13502 [4]",76.5211850907932,580361.547609774,NA,NA,NA,NA,228839.724577541,742676.656420764,971516.380998305,NA,NA,0.764450987082285,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,1.88378168736684,4
"57","Breuker in press","North Pond 13502 [4]",126.844442778704,515618.827690158,NA,NA,NA,NA,11022.9304073564,243202.039427868,254224.969835224,NA,NA,0.956641039570185,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,2.10327144496404,4
"58","Breuker in press","North Pond 13502 [4]",176.410621591739,3851380.59903546,NA,NA,NA,NA,62302.6465783592,167822.426926124,230125.073504483,NA,NA,0.729266152403225,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,2.24652473022782,4
"59","Breuker in press","North Pond 13502 [4]",226.302869029102,225288.864463881,NA,NA,NA,NA,NA,159384.168795282,NA,NA,NA,NA,NA,NA,NA,"SYBR Green","formaldehyde",NA,NA,NA,NA,NA,NA,NA,"SYBR","A349f","A516r",NA,"NadF","NadR",NA,NA,NA,NA,NA,NA,"Custom acid treatment",FALSE,4060,"Oligotrophic",NA,NA,NA,TRUE,2.35469005990086,4
